Engine,Scenario,Time,Energy
JS,high,45.754509312,2864.62
JS,high,46.836045606,2906.7000000000003
JS,high,45.137064598,2844.24
JS,high,46.048480178,2879.42
JS,high,45.095394204,2842.05
JS,high,45.004999201,2840.7
JS,high,45.822366748,2868.98
JS,high,44.877335628,2829.5
JS,high,48.278148708,2988.06
JS,high,45.363226629,2849.29
JS,high,46.389691546,2879.4
JS,high,45.877356267,2857.04
JS,high,45.369642179,2866.41
JS,high,44.751786046,2817.27
JS,high,45.74453174,2858.04
JS,high,45.541320263,2859.2400000000002
JS,high,47.33687847,2962.39
JS,high,45.915294551,2878.0099999999998
JS,high,46.109901396,2884.66
JS,low,3.445432813,204.79
JS,low,3.31523147,199.11
JS,low,3.354737161,205.12
JS,low,3.292995611,192.01
JS,low,3.348987655,197.82
JS,low,4.059567956,230.41
JS,low,3.335415196,201.73
JS,low,3.320605944,196.97
JS,low,3.494246887,201.58
JS,low,3.292622157,196.64999999999998
JS,low,3.399895514,201.03
JS,low,3.533982232,208.25
JS,low,3.455414059,211.83999999999997
JS,low,3.332313963,194.05
JS,low,3.419320868,200.21
JS,low,4.307136853,229.6
JS,low,3.32976861,199.16
JS,low,3.402667571,204.56
JS,low,3.550157497,209.07
JS,low,3.423855378,200.92
JS,low,3.378838411,208.82999999999998
JS,low,3.282309625,195.08
JS,low,3.489617552,205.82
JS,low,3.386423983,196.68
JS,low,3.408661695,204.75
JS,low,3.430103587,203.38
JS,low,3.281917077,193.92000000000002
JS,low,3.388054393,198.29000000000002
JS,low,3.281868843,199.04
JS,low,3.40610589,199.85
JS,low,3.33874083,201.9
JS,low,3.399508397,200.16
JS,low,3.369249707,198.89
JS,low,3.372886363,196.70000000000002
JS,low,3.306797825,193.07000000000002
JS,low,3.547491868,209.29000000000002
JS,low,3.364798094,193.58999999999997
JS,low,3.361335554,204.02
JS,low,3.461381708,208.29
JS,low,3.362101442,202.17
JS,low,3.355964258,194.27999999999997
JS,low,3.483893187,200.17999999999998
JS,low,3.285907079,199.16
JS,low,3.380587004,196.11
JS,low,3.44435454,202.51000000000002
JS,low,3.428886602,201.92
JS,low,3.35694096,198.15
JS,low,3.383271804,194.44
JS,low,3.218740247,192.70000000000002
JS,low,3.406590527,202.32
JS,low,3.602972316,203.89000000000001
JS,low,3.387607775,200.44
JS,low,3.366272084,198.62
JS,low,3.436305791,206.60000000000002
JS,low,3.3458697,197.55
JS,low,3.578953077,204.07
JS,low,3.483252106,207.97
JS,low,3.368176025,195.13
JS,low,3.221199088,193.66
JS,low,3.431993979,205.51
JS,low,3.361232762,196.39000000000001
JS,low,3.567775265,203.92999999999998
JS,low,3.366463144,201.82999999999998
JS,low,3.415492096,201.27
JS,low,3.255914631,196.13
JS,low,3.263546347,196.03
JS,low,3.270015247,200.59
JS,low,3.357831444,198.44
JS,low,3.391675789,206.09
JS,low,3.56666517,204.27
JS,low,3.588897367,206.21
JS,low,3.298771182,197.57999999999998
JS,low,3.290776135,195.95
JS,low,3.604693809,206.64999999999998
JS,low,3.512590417,205.26999999999998
JS,low,3.328592281,201.95999999999998
JS,low,3.372536247,199.02
JS,low,3.39567275,202.47
JS,low,3.486505758,202.92
JS,low,3.378060938,196.76
JS,low,3.453730586,200.0
JS,low,3.459704061,203.73
JS,low,3.310514752,203.32000000000002
JS,low,3.420860157,199.04999999999998
JS,low,3.412726372,198.12
JS,low,3.542149894,207.26
JS,low,3.28836215,206.49
JS,low,3.354605722,203.66
JS,low,3.43442621,199.12
JS,low,3.399410522,198.27999999999997
JS,low,3.362525888,198.97
JS,low,3.339977015,201.79
JS,low,3.353313646,202.42000000000002
JS,low,3.505049063,200.35
JS,low,3.438032074,196.55
JS,low,3.381068961,200.35
JS,low,3.382561349,207.13
JS,low,3.36610011,195.57999999999998
JS,low,3.491360712,203.51999999999998
JS,low,3.490245817,205.73999999999998
JS,mid,5.261080284,322.54
JS,mid,5.4700547,318.1
JS,mid,5.439843363,322.11
